Combo #,Median Image Size,F1 Score,Precision,Recall,Image Count,F1 Diff
1939,133152.61666666667,0.23776223776223776,0.3953488372093023,0.17,60,-0.06638522767555027
1940,116325.25252525252,0.06451612903225806,0.09090909090909091,0.05,99,-0.23963133640552997
1941,116283.95555555556,0.06578947368421052,0.09615384615384616,0.05,90,-0.23835799175357752
1942,116216.3375,0.06944444444444445,0.11363636363636363,0.05,80,-0.2347030209933436
1943,116138.97142857143,0.058394160583941604,0.10810810810810811,0.04,70,-0.24575330485384644
1944,116006.41666666667,0.062015503875969,0.13793103448275862,0.04,60,-0.24213196156181904
1945,80025.25510204081,0.03773584905660377,0.05084745762711865,0.03,98,-0.26641161638118427
1946,79996.48314606742,0.03973509933774834,0.058823529411764705,0.03,89,-0.2644123661000397
1947,79947.67088607595,0.0425531914893617,0.07317073170731707,0.03,79,-0.2615942739484263
1948,79900.53623188406,0.045112781954887216,0.09090909090909091,0.03,69,-0.2590346834829008
1949,79815.20338983051,0.04838709677419355,0.125,0.03,59,-0.2557603686635945
1950,1383.1836734693877,0,0,0.0,98,-0.30414746543778803
1951,1423.112359550562,0,0,0.0,89,-0.30414746543778803
1952,1461.987341772152,0,0,0.0,79,-0.30414746543778803
1953,1497.1884057971015,0,0,0.0,69,-0.30414746543778803
1954,1497.0338983050847,0,0,0.0,59,-0.30414746543778803
1955,116325.25252525252,0.06451612903225806,0.09090909090909091,0.05,99,-0.23963133640552997
1956,116283.95555555556,0.06578947368421052,0.09615384615384616,0.05,90,-0.23835799175357752
1957,116216.3375,0.06944444444444445,0.11363636363636363,0.05,80,-0.2347030209933436
1958,116138.97142857143,0.058394160583941604,0.10810810810810811,0.04,70,-0.24575330485384644
1959,116006.41666666667,0.062015503875969,0.13793103448275862,0.04,60,-0.24213196156181904
1960,108374.20202020202,0,0.0,0.0,99,-0.30414746543778803
1961,108332.62222222223,0,0.0,0.0,90,-0.30414746543778803
1962,108262.8625,0,0.0,0.0,80,-0.30414746543778803
1963,108205.94285714286,0,0.0,0.0,70,-0.30414746543778803
1964,108077.96666666666,0,0.0,0.0,60,-0.30414746543778803
1965,75024.0612244898,0,0.0,0.0,98,-0.30414746543778803
1966,74996.37078651685,0,0.0,0.0,89,-0.30414746543778803
1967,74945.45569620254,0,0.0,0.0,79,-0.30414746543778803
1968,74907.73913043478,0,0.0,0.0,69,-0.30414746543778803
1969,74825.69491525424,0,0.0,0.0,59,-0.30414746543778803
1970,1362.1836734693877,0,0,0.0,98,-0.30414746543778803
1971,1401.112359550562,0,0,0.0,89,-0.30414746543778803
1972,1437.8987341772151,0,0,0.0,79,-0.30414746543778803
1973,1472.5797101449275,0,0,0.0,69,-0.30414746543778803
1974,1474.1016949152543,0,0,0.0,59,-0.30414746543778803
1975,108374.20202020202,0,0.0,0.0,99,-0.30414746543778803
1976,108332.62222222223,0,0.0,0.0,90,-0.30414746543778803
1977,108262.8625,0,0.0,0.0,80,-0.30414746543778803
1978,108205.94285714286,0,0.0,0.0,70,-0.30414746543778803
1979,108077.96666666666,0,0.0,0.0,60,-0.30414746543778803
1980,95084.82828282828,0,0.0,0.0,99,-0.30414746543778803
1981,95072.48888888888,0,0.0,0.0,90,-0.30414746543778803
1982,95035.4625,0,0.0,0.0,80,-0.30414746543778803
1983,94985.65714285715,0,0.0,0.0,70,-0.30414746543778803
1984,94902.71666666666,0,0.0,0.0,60,-0.30414746543778803
1985,66495.4387755102,0,0.0,0.0,98,-0.30414746543778803
1986,66493.26966292135,0,0.0,0.0,89,-0.30414746543778803
1987,66477.92405063291,0,0.0,0.0,79,-0.30414746543778803
1988,66451.86956521739,0,0.0,0.0,69,-0.30414746543778803
1989,66405.42372881356,0,0.0,0.0,59,-0.30414746543778803
1990,1291.3673469387754,0,0,0.0,98,-0.30414746543778803
1991,1325.2808988764045,0,0,0.0,89,-0.30414746543778803
1992,1358.4177215189873,0,0,0.0,79,-0.30414746543778803
1993,1392.7391304347825,0,0,0.0,69,-0.30414746543778803
1994,1398.915254237288,0,0,0.0,59,-0.30414746543778803
1995,95084.82828282828,0,0.0,0.0,99,-0.30414746543778803
1996,95072.48888888888,0,0.0,0.0,90,-0.30414746543778803
1997,95035.4625,0,0.0,0.0,80,-0.30414746543778803
1998,94985.65714285715,0,0.0,0.0,70,-0.30414746543778803
1999,94902.71666666666,0,0.0,0.0,60,-0.30414746543778803
2000,126332.37373737374,0.5728643216080402,0.5757575757575758,0.57,99,0.2687168561702522
2001,126231.35555555555,0.5578947368421053,0.5888888888888889,0.53,90,0.2537472714043173
2002,126064.7875,0.5555555555555556,0.625,0.5,80,0.25140809011776755
