Combo #,Median Image Size,F1 Score,Precision,Recall,Image Count,F1 Diff
1267,145545.40506329114,0.011695906432748537,0.02654867256637168,0.0075,79,-0.3785479960062758
1268,145357.91304347827,0.012,0.03,0.0075,69,-0.37824390243902434
1269,145339.66101694916,0.008281573498964804,0.024096385542168676,0.005,59,-0.38196232894005955
1270,11580.622448979591,0,0.0,0.0,98,-0.39024390243902435
1271,12130.033707865168,0,0.0,0.0,89,-0.39024390243902435
1272,12486.696202531646,0,0.0,0.0,79,-0.39024390243902435
1273,13534.782608695652,0,0.0,0.0,69,-0.39024390243902435
1274,14265.0,0,0.0,0.0,59,-0.39024390243902435
1275,409571.0404040404,0.022641509433962266,0.046153846153846156,0.015,99,-0.3676023930050621
1276,409114.65555555554,0.02330097087378641,0.05217391304347826,0.015,90,-0.36694293156523794
1277,409087.9875,0.02004008016032064,0.050505050505050504,0.0125,80,-0.3702038222787037
1278,408127.78571428574,0.0205761316872428,0.05813953488372093,0.0125,70,-0.36966777075178153
1279,407955.48333333334,0.016985138004246284,0.056338028169014086,0.01,60,-0.37325876443477807
1280,348928.0909090909,0.003610108303249097,0.006493506493506494,0.0025,99,-0.38663379413577526
1281,348496.02222222224,0.0037037037037037043,0.007142857142857143,0.0025,90,-0.38654019873532064
1282,348446.175,0.0038022813688212928,0.007936507936507936,0.0025,80,-0.3864416210702031
1283,347618.9428571428,0.00390625,0.008928571428571428,0.0025,70,-0.38633765243902435
1284,347499.31666666665,0.004032258064516129,0.010416666666666666,0.0025,60,-0.3862116443745082
1285,127709.44897959183,0.011152416356877323,0.021739130434782608,0.0075,98,-0.37909148608214704
1286,127637.14606741573,0.011406844106463877,0.023809523809523808,0.0075,89,-0.3788370583325605
1287,127649.17721518988,0.0078125,0.017857142857142856,0.005,79,-0.38243140243902435
1288,127521.13043478261,0.00796812749003984,0.0196078431372549,0.005,69,-0.3822757749489845
1289,127532.71186440678,0.008130081300813009,0.021739130434782608,0.005,59,-0.38211382113821135
1290,9887.030612244898,0,0.0,0.0,98,-0.39024390243902435
1291,10373.056179775282,0,0.0,0.0,89,-0.39024390243902435
1292,10689.987341772152,0,0.0,0.0,79,-0.39024390243902435
1293,11598.115942028986,0,0.0,0.0,69,-0.39024390243902435
1294,12237.101694915254,0,0.0,0.0,59,-0.39024390243902435
1295,348928.0909090909,0.003610108303249097,0.006493506493506494,0.0025,99,-0.38663379413577526
1296,348496.02222222224,0.0037037037037037043,0.007142857142857143,0.0025,90,-0.38654019873532064
1297,348446.175,0.0038022813688212928,0.007936507936507936,0.0025,80,-0.3864416210702031
1298,347618.9428571428,0.00390625,0.008928571428571428,0.0025,70,-0.38633765243902435
1299,347499.31666666665,0.004032258064516129,0.010416666666666666,0.0025,60,-0.3862116443745082
1300,396673.37373737374,0.32806324110671936,0.7830188679245284,0.2075,99,-0.06218066133230499
1301,396206.3222222222,0.3046092184368737,0.7676767676767676,0.19,90,-0.08563468400215063
1302,395975.575,0.28629856850715746,0.7865168539325843,0.175,80,-0.10394533393186689
1303,394922.95714285714,0.2697095435684647,0.7926829268292683,0.1625,70,-0.12053435887055963
1304,394548.9,0.2489451476793249,0.7972972972972973,0.1475,60,-0.14129875475969944
1305,126814.5306122449,0.12080536912751678,0.574468085106383,0.0675,98,-0.2694385333115076
1306,126736.34831460674,0.11711711711711711,0.5909090909090909,0.065,89,-0.27312678532190726
1307,126706.69620253165,0.10933940774487472,0.6153846153846154,0.06,79,-0.28090449469414963
1308,126489.78260869565,0.10161662817551963,0.6666666666666666,0.055,69,-0.2886272742635047
1309,126449.38983050847,0.09744779582366589,0.6774193548387096,0.0525,59,-0.2927961066153585
1310,956.0,0,0,0.0,98,-0.39024390243902435
1311,956.0,0,0,0.0,89,-0.39024390243902435
1312,956.0,0,0,0.0,79,-0.39024390243902435
1313,956.0,0,0,0.0,69,-0.39024390243902435
1314,956.0,0,0,0.0,59,-0.39024390243902435
1315,397084.75757575757,0.3636363636363636,0.8034188034188035,0.235,99,-0.026607538802660757
1316,396612.63333333336,0.33791748526522597,0.7889908256880734,0.215,90,-0.05232641717379838
1317,396378.15,0.3132530120481928,0.7959183673469388,0.195,80,-0.07699089039083157
1318,395322.9285714286,0.2903885480572597,0.797752808988764,0.1775,70,-0.09985535438176463
1319,394962.6666666667,0.2630480167014614,0.7974683544303798,0.1575,60,-0.12719588573756296
1320,312147.63636363635,0.023809523809523808,0.057692307692307696,0.015,99,-0.36643437862950057
1321,312008.26666666666,0.0242914979757085,0.06382978723404255,0.015,90,-0.36595240446331584
1322,311997.3625,0.02079002079002079,0.06172839506172839,0.0125,80,-0.36945388164900356
1323,311535.85714285716,0.01279317697228145,0.043478260869565216,0.0075,70,-0.3774507254667429
1324,311480.56666666665,0.013100436681222707,0.05172413793103448,0.0075,60,-0.37714346575780167
1325,110163.80612244898,0.01183431952662722,0.028037383177570093,0.0075,98,-0.3784095829123971
1326,110119.98876404495,0.01214574898785425,0.031914893617021274,0.0075,89,-0.3780981534511701
1327,110111.3164556962,0.00823045267489712,0.023255813953488372,0.005,79,-0.3820134497641272
1328,109969.76811594203,0.008438818565400845,0.02702702702702703,0.005,69,-0.3818050838736235
1329,109945.55932203389,0.008658008658008658,0.03225806451612903,0.005,59,-0.3815858937810157
1330,956.0,0,0,0.0,98,-0.39024390243902435
1331,956.0,0,0,0.0,89,-0.39024390243902435
1332,956.0,0,0,0.0,79,-0.39024390243902435
1333,956.0,0,0,0.0,69,-0.39024390243902435
1334,956.0,0,0,0.0,59,-0.39024390243902435
1335,312147.63636363635,0.023809523809523808,0.057692307692307696,0.015,99,-0.36643437862950057
1336,312008.26666666666,0.0242914979757085,0.06382978723404255,0.015,90,-0.36595240446331584
1337,311997.3625,0.02079002079002079,0.06172839506172839,0.0125,80,-0.36945388164900356
1338,311535.85714285716,0.01279317697228145,0.043478260869565216,0.0075,70,-0.3774507254667429
1339,311480.56666666665,0.013100436681222707,0.05172413793103448,0.0075,60,-0.37714346575780167
1340,272297.7878787879,0.008771929824561405,0.03571428571428571,0.005,99,-0.3814719726144629
1341,272203.06666666665,0.0044444444444444444,0.02,0.0025,90,-0.38579945799457993
1342,272212.1,0.004514672686230249,0.023255813953488372,0.0025,80,-0.3857292297527941
1343,271866.1285714286,0.004566210045662101,0.02631578947368421,0.0025,70,-0.38567769239336225
1344,271847.8333333333,0.004618937644341801,0.030303030303030304,0.0025,60,-0.38562496479468256
1345,98756.19387755102,0,0.0,0.0,98,-0.39024390243902435
1346,98726.89887640449,0,0.0,0.0,89,-0.39024390243902435
1347,98725.91139240506,0,0.0,0.0,79,-0.39024390243902435
1348,98622.78260869565,0,0.0,0.0,69,-0.39024390243902435
1349,98607.32203389831,0,0.0,0.0,59,-0.39024390243902435
1350,956.0,0,0,0.0,98,-0.39024390243902435
1351,956.0,0,0,0.0,89,-0.39024390243902435
1352,956.0,0,0,0.0,79,-0.39024390243902435
1353,956.0,0,0,0.0,69,-0.39024390243902435
1354,956.0,0,0,0.0,59,-0.39024390243902435
1355,272297.7878787879,0.008771929824561405,0.03571428571428571,0.005,99,-0.3814719726144629
1356,272203.06666666665,0.0044444444444444444,0.02,0.0025,90,-0.38579945799457993
1357,272212.1,0.004514672686230249,0.023255813953488372,0.0025,80,-0.3857292297527941
1358,271866.1285714286,0.004566210045662101,0.02631578947368421,0.0025,70,-0.38567769239336225
1359,271847.8333333333,0.004618937644341801,0.030303030303030304,0.0025,60,-0.38562496479468256
1360,250834.69696969696,0.0044742729306487695,0.02127659574468085,0.0025,99,-0.38576962950837557
1361,250748.42222222223,0.00453514739229025,0.024390243902439025,0.0025,90,-0.3857087550467341
1362,250768.8125,0.004597701149425288,0.02857142857142857,0.0025,80,-0.38564620128959903
1363,250477.51428571428,0.004651162790697674,0.03333333333333333,0.0025,70,-0.3855927396483267
1364,250470.9,0.0047169811320754715,0.041666666666666664,0.0025,60,-0.3855269213069489
1365,92337.52040816327,0.004576659038901602,0.02702702702702703,0.0025,98,-0.38566724340012276
1366,92313.26966292135,0.004597701149425288,0.02857142857142857,0.0025,89,-0.38564620128959903
1367,92316.41772151898,0.004662004662004662,0.034482758620689655,0.0025,79,-0.3855818977770197
1368,92227.71014492754,0.0047169811320754715,0.041666666666666664,0.0025,69,-0.3855269213069489
1369,92219.54237288136,0.0047619047619047615,0.05,0.0025,59,-0.3854819976771196
1370,956.0,0,0,0.0,98,-0.39024390243902435
1371,956.0,0,0,0.0,89,-0.39024390243902435
1372,956.0,0,0,0.0,79,-0.39024390243902435
1373,956.0,0,0,0.0,69,-0.39024390243902435
1374,956.0,0,0,0.0,59,-0.39024390243902435
1375,250834.69696969696,0.0044742729306487695,0.02127659574468085,0.0025,99,-0.38576962950837557
1376,250748.42222222223,0.00453514739229025,0.024390243902439025,0.0025,90,-0.3857087550467341
1377,250768.8125,0.004597701149425288,0.02857142857142857,0.0025,80,-0.38564620128959903
1378,250477.51428571428,0.004651162790697674,0.03333333333333333,0.0025,70,-0.3855927396483267
1379,250470.9,0.0047169811320754715,0.041666666666666664,0.0025,60,-0.3855269213069489
1380,214341.18181818182,0.013452914798206277,0.06521739130434782,0.0075,99,-0.3767909876408181
1381,214252.35555555555,0.013544018058690745,0.06976744186046512,0.0075,90,-0.3766998843803336
1382,214252.4125,0.013761467889908256,0.08333333333333333,0.0075,80,-0.3764824345491161
1383,214044.5285714286,0.013921113689095125,0.0967741935483871,0.0075,70,-0.37632278874992925
1384,214001.03333333333,0.014117647058823528,0.12,0.0075,60,-0.37612625538020084
1385,80438.12244897959,0.004524886877828055,0.023809523809523808,0.0025,98,-0.3857190155611963
1386,80414.5617977528,0.004576659038901602,0.02702702702702703,0.0025,89,-0.38566724340012276
1387,80420.01265822785,0.004640371229698376,0.03225806451612903,0.0025,79,-0.385603531209326
1388,80362.59420289854,0.00468384074941452,0.037037037037037035,0.0025,69,-0.3855600616896098
1389,80348.44067796611,0.0047169811320754715,0.041666666666666664,0.0025,59,-0.3855269213069489
1390,956.0,0,0,0.0,98,-0.39024390243902435
1391,956.0,0,0,0.0,89,-0.39024390243902435
1392,956.0,0,0,0.0,79,-0.39024390243902435
1393,956.0,0,0,0.0,69,-0.39024390243902435
1394,956.0,0,0,0.0,59,-0.39024390243902435
1395,214341.18181818182,0.013452914798206277,0.06521739130434782,0.0075,99,-0.3767909876408181
1396,214252.35555555555,0.013544018058690745,0.06976744186046512,0.0075,90,-0.3766998843803336
1397,214252.4125,0.013761467889908256,0.08333333333333333,0.0075,80,-0.3764824345491161
1398,214044.5285714286,0.013921113689095125,0.0967741935483871,0.0075,70,-0.37632278874992925
1399,214001.03333333333,0.014117647058823528,0.12,0.0075,60,-0.37612625538020084
1400,394053.7878787879,0.4801223241590214,0.6181102362204725,0.3925,99,0.08987842171999705
1401,393565.94444444444,0.4546899841017488,0.6244541484716157,0.3575,90,0.06444608166272447
1402,393293.6,0.4205298013245033,0.6225490196078431,0.3175,80,0.030285898885478946
1403,392192.8714285714,0.3916811091854419,0.6384180790960452,0.2825,70,0.001437206746417563
1404,391758.45,0.3484573502722323,0.6357615894039735,0.24,60,-0.04178655216679206
1405,128406.0306122449,0.3374485596707819,0.3738601823708207,0.3075,98,-0.05279534276824244
1406,128306.30337078651,0.3162393162393162,0.3675496688741722,0.2775,89,-0.07400458619970812
1407,128256.77215189874,0.30330330330330335,0.37969924812030076,0.2525,79,-0.086940599135721
1408,127999.92753623189,0.29383886255924174,0.39914163090128757,0.2325,69,-0.0964050398797826
1409,127923.71186440678,0.2608695652173913,0.3939393939393939,0.195,59,-0.12937433722163305
1410,1058.6836734693877,0,0,0.0,98,-0.39024390243902435
1411,1066.9550561797753,0,0,0.0,89,-0.39024390243902435
1412,1070.506329113924,0,0,0.0,79,-0.39024390243902435
1413,1085.2173913043478,0,0,0.0,69,-0.39024390243902435
1414,1093.5762711864406,0,0,0.0,59,-0.39024390243902435
1415,395532.82828282827,0.47179487179487173,0.745945945945946,0.345,99,0.08155096935584738
1416,395050.6111111111,0.4385964912280702,0.7352941176470589,0.3125,90,0.04835258878904586
1417,394772.0875,0.4021739130434783,0.7302631578947368,0.2775,80,0.011930010604453978
1418,393682.95714285714,0.3700934579439253,0.7333333333333333,0.2475,70,-0.020150444495099062
1419,393288.4666666667,0.32233009708737864,0.7217391304347827,0.2075,60,-0.0679138053516457
1420,318868.51515151514,0.33126934984520123,0.4349593495934959,0.2675,99,-0.058974552593823115
1421,318687.26666666666,0.31679999999999997,0.44,0.2475,90,-0.07344390243902438
1422,318628.625,0.28523489932885904,0.4336734693877551,0.2125,80,-0.10500900311016531
1423,318067.4428571428,0.26010544815465725,0.4378698224852071,0.185,70,-0.1301384542843671
1424,317989.2833333333,0.22752293577981653,0.42758620689655175,0.155,60,-0.16272096665920782
1425,112255.85714285714,0.3235747303543914,0.42168674698795183,0.2625,98,-0.06666917208463297
1426,112197.16853932584,0.3111111111111111,0.4260869565217391,0.245,89,-0.07913279132791323
1427,112180.78481012658,0.28286189683860236,0.4228855721393035,0.2125,79,-0.10738200560042199
1428,112009.44927536232,0.2539130434782609,0.41714285714285715,0.1825,69,-0.13633085896076347
1429,111979.45762711864,0.22586520947176686,0.4161073825503356,0.155,59,-0.1643786929672575
1430,1041.4183673469388,0,0,0.0,98,-0.39024390243902435
1431,1050.056179775281,0,0,0.0,89,-0.39024390243902435
1432,1052.607594936709,0,0,0.0,79,-0.39024390243902435
