Combo #,Median Image Size,F1 Score, Precision, Recall, Image Count
1714,4992.406779661017,0.0,0.0,0.0,59
1715,464330.0606060606,0.23333333333333334,0.4375,0.1590909090909091,99
1716,464434.35555555555,0.2208588957055215,0.4186046511627907,0.15,90
1717,464531.075,0.20979020979020982,0.41284403669724773,0.140625,80
1718,464601.27142857143,0.21024258760107817,0.42857142857142855,0.1392857142857143,70
1719,464509,0.2082018927444795,0.42857142857142855,0.1375,60
1720,344339.24242424243,0.004796163069544365,0.047619047619047616,0.0025252525252525255,99
1721,344342.35555555555,0.0,0.0,0.0,90
1722,344374.125,0.0,0.0,0.0,80
1723,344395.15714285715,0.0,0.0,0.0,70
1724,344365.7166666667,0.0,0.0,0.0,60
1725,222478.0918367347,0.0,0.0,0.0,98
1726,222482.2808988764,0.0,0.0,0.0,89
1727,222493.62025316455,0.0,0.0,0.0,79
1728,222508.52173913043,0.0,0.0,0.0,69
1729,222493.4406779661,0.0,0.0,0.0,59
1730,4465.2040816326535,0.0,0.0,0.0,98
1731,4471.494382022472,0.0,0.0,0.0,89
1732,4331.354430379747,0.0,0.0,0.0,79
1733,4455.04347826087,0.0,0.0,0.0,69
1734,4526.389830508475,0.0,0.0,0.0,59
1735,348565.9494949495,0.028436018957345974,0.23076923076923078,0.015151515151515152,99
1736,348564.8888888889,0.02610966057441253,0.21739130434782608,0.013888888888888888,90
1737,348601.3375,0.029498525073746312,0.2631578947368421,0.015625,80
1738,348614.71428571426,0.027027027027027025,0.25,0.014285714285714285,70
1739,348604.9166666667,0.023809523809523808,0.25,0.0125,60
1740,298975.23232323234,0.0,0.0,0.0,99
1741,298948.1222222222,0.0,0.0,0.0,90
1742,298964.725,0.0,0.0,0.0,80
1743,298974.95714285714,0.0,0.0,0.0,70
1744,298966.95,0.0,0.0,0.0,60
1745,196316.82653061225,0.0,0.0,0.0,98
1746,196301.35955056178,0.0,0.0,0.0,89
1747,196294.9746835443,0.0,0.0,0.0,79
1748,196305.27536231885,0.0,0.0,0.0,69
1749,196308.98305084746,0.0,0.0,0.0,59
1750,4148.673469387755,0.0,0,0.0,98
1751,4154.76404494382,0.0,0,0.0,89
1752,4032.8734177215188,0.0,0,0.0,79
1753,4151.260869565217,0.0,0,0.0,69
1754,4208.186440677966,0.0,0,0.0,59
1755,299440.404040404,0.0,0.0,0.0,99
1756,299414.36666666664,0.0,0.0,0.0,90
1757,299426.975,0.0,0.0,0.0,80
1758,299443.71428571426,0.0,0.0,0.0,70
1759,299428.5833333333,0.0,0.0,0.0,60
1760,277541.55555555556,0.0,0.0,0.0,99
1761,277507.0444444445,0.0,0.0,0.0,90
1762,277504.4125,0.0,0.0,0.0,80
1763,277507.6142857143,0.0,0.0,0.0,70
1764,277500.9,0.0,0.0,0.0,60
1765,183621.193877551,0.0,0.0,0.0,98
1766,183598.31460674157,0.0,0.0,0.0,89
1767,183581.74683544305,0.0,0.0,0.0,79
1768,183594.75362318842,0.0,0.0,0.0,69
1769,183600.45762711865,0.0,0.0,0.0,59
1770,3994.9489795918366,0.0,0,0.0,98
1771,3997.808988764045,0.0,0,0.0,89
1772,3880.46835443038,0.0,0,0.0,79
1773,3994.1884057971015,0.0,0,0.0,69
1774,4053.3898305084745,0.0,0,0.0,59
1775,277848.8787878788,0.0,0.0,0.0,99
1776,277814.26666666666,0.0,0.0,0.0,90
1777,277804.225,0.0,0.0,0.0,80
1778,277808.52857142856,0.0,0.0,0.0,70
1779,277800.75,0.0,0.0,0.0,60
1780,239945.898989899,0.0,0.0,0.0,99
1781,239921.11111111112,0.0,0.0,0.0,90
1782,239915.425,0.0,0.0,0.0,80
1783,239924.54285714286,0.0,0.0,0.0,70
1784,239915.5,0.0,0.0,0.0,60
1785,160337.7142857143,0.0,0.0,0.0,98
1786,160321.57303370786,0.0,0.0,0.0,89
1787,160300.48101265822,0.0,0.0,0.0,79
1788,160319.75362318842,0.0,0.0,0.0,69
1789,160322.7627118644,0.0,0.0,0.0,59
